Disease	Type
Sulfamethoxazole Allergy	8
Shrimp Allergy	8
Aztreonam Allergy	8
Benzylpenicillin Allergy	8
Cefuroxime Allergy	8
Mixed Type Thymoma	"8,19"
Eosinophilic Pustular Folliculitis	"8,24"
Ceftriaxone Allergy	8
Peach Allergy	8
Sulfonamide Allergy	8
Cephalosporin Allergy	8
Diffuse Alopecia Areata	"8,17"
Melphalan Allergy	8
Carbamazepine Allergy	8
Carbapenem Allergy	8
Orange Allergy	8
Snail Allergy	8
Non-Amyloid Fibrillary Glomerulopathy	"8,12,24"
Submandibular Adenitis	8
Thiopental Allergy	8
Lidocaine Allergy	8
Crustacean Allergy	8
Tomato Allergy	8
Melon Allergy	8
Rocuronium Allergy	8
Encapsulated Thymoma	"8,19"
Selective Ige Deficiency Disease	8
Grade Iii Lymphomatoid Granulomatosis	8
Crab Allergy	8
Predominantly Cortical Thymoma	"8,19"
Celery Allergy	8
Combined Thymoma	"8,19"
Splenic Manifestation of Leukemia	"8,19"
Timothy Grass Allergy	8
Corticosteroid Allergy	8
Vegetable Allergy	8
Zebrafish Allergy	8
Chicken Egg Allergy	8
Apricot Allergy	8
Pediatric T-Cell Leukemia	"8,19,24"
"Hepatitis B Vaccine, Response to"	"8,9"
Cherry Allergy	8
Phenobarbital Allergy	8
Succinylcholine Allergy	8
Sulfasalazine Allergy	8
Quinidine Allergy	8
Isoniazide Allergy	8
Selective Igd Deficiency Disease	8
Intrapelvic Lymph Node Leukemic Reticuloendotheliosis	"8,19"
Occupational Allergic Alveolitis	"8,16,24"
Ketoprofen Photoallergic Dermatitis	"8,17"
Lymph Node Palisaded Myofibroblastoma	"8,19"
Immunodeficiency 72	"8,21,22"
Immunoglobulin Beta Deficiency	8
Tubocurarine Allergy	8
Cefixime Allergy	8
Amodiaquine Allergy	8
Noninvasive Malignant Thymoma	"8,19"
Mepivacaine Allergy	8
Hexamethylene Diisocyanate Allergic Asthma	"8,16"
Sodium Aurothiomalate Allergy	8
D-Mannitol Allergy	8
Ranitidine Allergy	8
Phthalyl Group Allergy	8
Cyclophosphamide Allergy	8
Tiger Prawn Allergy	8
Plum Allergy	8
Piperacillin Allergy	8
Postauricular Lymphadenitis	8
Gallamine Allergy	8
Methyl Isocyanate Allergic Asthma	"8,16"
"Diphenylmethane-4,4'-Diisocyanate Allergic Asthma"	"8,16"
Cefotaxime Allergy	8
Indian Prawn Allergy	8
Suprofen Allergy	8
Disodium Cromoglycate Allergy	8
Patent Blue V Allergy	8
Dill Allergy	8
Rainbow Trout Allergy	8
Horned Turban Snail Allergy	8
White Shrimp Allergy	8
Indian Plum Allergy	8
Atlantic Cod Allergy	8
Atlantic Salmon Allergy	8
Brown Shrimp Allergy	8
Carp Allergy	8
Tetrachlorophthalic Anhydride Allergic Asthma	"8,16"
Alcuronium Bromide Allergy	8
Parsley Allergy	8
Cefotiam Allergy	8
"Cytomegalovirus, Neurological Consequences of"	"8,13"
"Nuchal Bleb, Familial"	"8,20,21,24"
Chickenpox	"8,15,17,22"
Aids Dementia Complex	"8,10,13,22,24"
Skin Angiosarcoma	"8,17,19"
Lymphoma-Like Variant Infiltrating Bladder Urothelial Carcinoma	"8,12,19"
Breast Cancer	"8,15,17,19,21,24"
Psoriasis	"8,17,21,24"
Autoimmune Disease	"8,9"
"Granulomatous Disease, Chronic, X-Linked"	"8,21"
Alopecia Areata	"8,17,24"
Guillain-Barre Syndrome	"8,13,21,24"
Extrinsic Allergic Alveolitis	"8,16,24"
Neuropathy	"8,13"
Allergic Asthma	"8,16"
Allergic Bronchopulmonary Aspergillosis	"8,16,21,22,24"
Pulmonary Sarcoidosis	"8,16"
Lung Large Cell Carcinoma	"8,13,16,19,24"
Cellulitis	"8,17"
Adenosine Deaminase Deficiency	"8,16"
Lambert-Eaton Myasthenic Syndrome	"8,13,24"
Pemphigoid	"8,17"
Pleural Tuberculosis	"8,16,22"
Immunodeficiency 19	"8,16,21,22"
Extrapulmonary Tuberculosis	"8,16,22"
Complement Component 5 Deficiency	"8,21,24"
Seborrheic Dermatitis	"8,17"
Immunodeficiency 13	"8,21,24"
Respiratory Allergy	"8,16"
Skin Sarcoidosis	"8,17"
Scarlet Fever	"8,14,16,18,22"
Hypersensitivity Reaction Type Iv Disease	"8,19"
"T-Cell Immunodeficiency, Congenital Alopecia, and Nail Dystrophy"	"8,13,21"
Familial Behcet-Like Autoinflammatory Syndrome	"8,14,15,17,21"
Metal Allergy	"8,17"
"Immunodeficiency, Common Variable, 1"	"8,21,22"
Drug Reaction with Eosinophilia and Systemic Symptoms	"8,17,24"
"Properdin Deficiency, X-Linked"	"8,21,24"
Immunodeficiency 44	"8,21,22"
Immunodeficiency 49	"8,21"
Immunodeficiency 11b with Atopic Dermatitis	"8,17,21"
Parapsoriasis	"8,17,24"
Immunodeficiency 51	"8,17,21"
Toxicodendron Dermatitis	"8,17"
Ectodermal Dysplasia and Immunodeficiency 2	"8,17,21"
Immunodeficiency 15b	"8,21,22"
Pandas	"8,13,24"
Loeffler Syndrome	"8,16"
Pruritic Urticarial Papules and Plaques of Pregnancy	"8,15,17,24"
"Immunodeficiency, Common Variable, 12, with Autoimmunity"	"8,9,21"
Ventilation Pneumonitis	"8,16"
Autoimmune Disease of Skin and Connective Tissue	"8,17"
Tungiasis	"8,17,22,24"
"Polycystic Kidney Disease, Infantile Severe, with Tuberous Sclerosis"	"8,12,13,20,24"
Epithelial Malignant Thymoma	"8,19"
"Immunodeficiency, Common Variable, 7"	"8,21"
Allergic Urticaria	"8,17"
Immunodeficiency 64 with Lymphoproliferation	"8,21,22"
Erythroderma Desquamativum	"8,17,22,24"
Immunodeficiency 73b with Defective Neutrophil Chemotaxis and Lymphopenia	"8,16,21"
Lichen Planus Pemphigoides	"8,17,24"
Immunodeficiency 61	"8,21,24"
"Immunodeficiency, Common Variable, 4"	"8,21"
Thymus Lipoma	"8,19"
Malt Worker's Lung	"8,16"
Thymus Sarcomatoid Carcinoma	"8,19"
Cork-Handlers' Disease	"8,16"
Immunodeficiency 66	"8,21,22"
Thymus Adenocarcinoma	"8,19"
Immunodeficiency 62	"8,16,21"
"1-Chloro-2,4-Dinitrobenzene Allergic Contact Dermatitis"	"8,17"
Thymus Basaloid Carcinoma	"8,19"
Immunodeficiency 65	"8,21,22"
Papillary Thymic Adenocarcinoma	"8,19"
Serous Carcinoma of the Corpus Uteri	"8,15,19,24"
Autoimmune Autonomic Ganglionopathy	"8,13,24"
Thymus Mucoepidermoid Carcinoma	"8,19"
"Hypersensitivity Pneumonitis, Familial"	"8,16,21"
"1,4-Phenylenediamine Allergic Contact Dermatitis"	"8,17"
Marek Disease	"8,22,24"
Chloramine T Respiratory Allergy	"8,16"
Mushroom Workers' Lung	"8,16"
Rare Peripheral Neuropathy	"8,13,24"
Cobalt Allergic Contact Dermatitis	"8,17"
Splenic Manifestation of Hairy Cell Leukemia	"8,19"
Thymus Adenosquamous Carcinoma	"8,19"
Benzoic Acid Allergic Contact Dermatitis	"8,17"
Neomycin Sulfate Allergic Contact Dermatitis	"8,17"
4-Tert-Butylphenol Allergic Contact Dermatitis	"8,17"
Meropenem Allergy	"8,16"
Isocyanates Allergic Asthma	"8,16"
Parthenolide Allergic Contact Dermatitis	"8,17"
Carvone Allergic Contact Dermatitis	"8,17"
Toluene Meta-Diisocyanate Allergic Asthma	"8,16"
4-Vinylcyclohexene Dioxide Respiratory Allergy	"8,16"
Cobalt Allergic Asthma	"8,16"
Remazole Black Respiratory Allergy	"8,16"
Nickel Allergic Asthma	"8,16"
Trimellitic Anhydride Allergic Asthma	"8,16"
Hexahydrophthalic Anhydride Allergic Asthma	"8,16"
Maleic Anhydride Allergic Asthma	"8,16"
Splenic Manifestation of Prolymphocytic Leukemia	"8,19"
"Toluene 2,4-Diisocyanate Allergic Asthma"	"8,16"
Acid Anhydride Respiratory Allergy	"8,16"
Phthalic Anhydride Allergic Asthma	"8,16"
"Dermatitis, Atopic"	"8,13,17,21"
Urticaria	"8,17,24"
Tonsillitis	"8,14,16,22"
Tularemia	"8,17,22,24"
Pemphigus Foliaceus	"8,17,24"
Lichen Planus	"8,14,17,21,24"
Thymic Carcinoma	"8,19,24"
Berylliosis	"8,10,16,24"
Reticulosarcoma	"8,19"
Epidermolysis Bullosa Acquisita	"8,17,24"
Croup	"8,14,16"
Melkersson-Rosenthal Syndrome	"8,13,17,24"
Transverse Myelitis	"8,13,24"
Fibrous Histiocytoma	"8,11,17,19"
Paraneoplastic Pemphigus	"8,17,24"
Iga Pemphigus	"8,17,24"
C1q Deficiency 1	"8,12,17,21,24"
Pemphigoid Gestationis	"8,17,24"
Balo Concentric Sclerosis	"8,13,24"
Glomerulopathy with Fibronectin Deposits 2	"8,12,21,24"
Bird Fancier's Lung	"8,16,24"
Penicilliosis	"8,9,17,22"
Pityriasis Lichenoides	"8,17,22,24"
X-Linked Immunodeficiency 74	"8,16,21,22"
Immunodeficiency 15a	"8,16,21"
Photoallergic Dermatitis	"8,17"
Lymphoepithelioma-Like Thymic Carcinoma	"8,19"
Immunodeficiency 79	"8,16,17,21,22,24"
Palladium Allergic Contact Dermatitis	"8,17"
Kerion Celsi	"8,17,24"
Chronic Actinic Dermatitis	"8,17,24"
Linear Iga Disease	"8,17,24"
Chromium Allergic Contact Dermatitis	"8,17"
Hyperkeratosis Lenticularis Perstans	"8,17,21,24"
Immunodeficiency 59 and Hypoglycemia	"8,16,17,21,23"
Nickel Allergic Contact Dermatitis	"8,17"
Thymus Squamous Cell Carcinoma	"8,17,19"
Lymphatic System Cancer	"8,19"
"Complement Component 8 Deficiency, Type Ii"	"8,21,24"
"Complement Component 8 Deficiency, Type I"	"8,21,24"
Thymus Large Cell Carcinoma	"8,13,19"
Neurodevelopmental Disorder with Dysmorphic Facies and Ischiopubic Hypoplasia	"8,10,13,21"
Nodular Cutaneous Amyloidosis	"8,15,17,24"
Thymic-Renal-Anal-Lung Dysplasia	"8,12,16,20,24"
Malignant Dysgerminomatous Germ Cell Tumor of the Ovary	"8,15,19,24"
Lymph Node Benign Neoplasm	"8,19"
Formaldehyde Allergic Contact Dermatitis	"8,17"
Benzo[d]isothiazol-3-One Allergic Contact Dermatitis	"8,17"
"N,n'-Diethylthiourea Allergic Contact Dermatitis"	"8,17"
"N,n'-Diphenylthiourea Allergic Contact Dermatitis"	"8,17"
"Diphenylmethane-4,4'-Diisocyanate Allergic Contact Dermatitis"	"8,17"
Lymph Node Adenoid Cystic Carcinoma	"8,19"
House Allergic Alveolitis	"8,16,24"
"2,4-Dinitrophenyl Allergic Contact Dermatitis"	"8,17"
Rare Allergic Respiratory Disease	"8,16,24"
Potassium Dichromate Allergic Contact Dermatitis	"8,17"
Chronic Inflammatory Demyelinating Polyradiculoneuropathy	"8,11,13,24"
Lymphangiosarcoma	"8,17,19,24"
Lymph Node Carcinoma	"8,19,24"
Neurolymphomatosis	"8,13,19,24"
Thymoma	"8,19,21,24"
"Pemphigus Vulgaris, Familial"	"8,14,17,21,24"
Glycogen Storage Disease Ixa1	"9,11,21,23"
Polycystic Liver Disease 1 with or Without Kidney Cysts	"9,12,21"
"Glycogen Storage Disease 0, Liver"	"9,21,24"
Echinococcosis	"9,13,16,22"
"Biliary Atresia, Extrahepatic"	9
Glycogen Storage Disease Due to Hepatic Glycogen Synthase Deficiency	"9,23,24"
Congenital Hepatic Fibrosis	9
Hepatic Coma	"9,13"
Visceral Steatosis	"9,24"
Ichthyosis Congenita with Biliary Atresia	"9,24"
"Citrullinemia, Type Ii, Neonatal-Onset"	"9,21,23,24"
Hepatic Lipase Deficiency	"9,21"
"Ichthyosis, Hepatosplenomegaly, and Cerebellar Degeneration"	"9,13,17,24"
Senior-Boichis Syndrome	"9,12,24"
"Sclerosing Cholangitis, Neonatal"	"9,21"
"Hypertriglyceridemia, Transient Infantile"	"9,21"
Halothane Hepatitis	9
Trmu Deficiency	"9,16"
Mitochondrial Dna Maintenance Defects	"9,13,23,24"
Ketamine-Induced Biliary Dilatation	"9,24"
"Fructosuria, Essential"	"9,12,21,23,24"
"Phosphoenolpyruvate Carboxykinase Deficiency, Cytosolic"	"9,21,23,24"
"Fatty Liver Disease, Protection from"	"9,21"
"Mitochondrial Dna Depletion Syndrome, Hepatocerebral Form Due to Dguok Deficienc"	"9,24"
Combined Saposin Deficiency	"9,13,21,23,24"
Heme Oxygenase 1 Deficiency	"9,12,21,23,24"
Phosphorylase Kinase Deficiency	"9,11"
Succinyl-Coa:3-Oxoacid-Coa Transferase Deficiency	"9,16,21,23,24"
3-Hydroxy-3-Methylglutaryl-Coa Synthase-2 Deficiency	"9,21,23"
Dicrocoeliasis	"9,22"
"Phosphoenolpyruvate Carboxykinase Deficiency, Mitochondrial"	"9,24"
Bifunctional Enzyme Deficiency	"9,23,24"
Fascioloidiasis	"9,22"
Non-a-E Hepatitis	"9,24"
Biliary Hypoplasia	"9,24"
"Nephropathy, Progressive Tubulointerstitial, with Cholestatic Liver Disease"	"9,12"
Pediatric Genetic Cholestatic Liver Disease	9
Liver Fibrocystic Disease and Polydactyly	9
Cyanosis and Hepatic Disease	9
Perinatal Jaundice Due to Hepatocellular Damage	"9,17"
Rare Genetic Hepatic Disease	"9,24"
Genetic Parenchymatous Liver Disease	"9,24"
Genetic Biliary Tract Disease	"9,24"
Biliary Atresia Intrahepatic Syndromic Form	"9,24"
Rare Disorder Potentially Indicated for Liver Transplant	"9,24"
"Pyruvate Kinase Deficiency, Liver Type"	"9,24"
Biliary Atresia Intrahepatic Non Syndromic Form	"9,24"
Hepatocyte Nuclear Factor 1脽 -Associated Disease	"9,24"
Combined Oxidative Phosphorylation Deficiency 1	"9,21,23,24"
Cryptogenic Cirrhosis	9
Combined Oxidative Phosphorylation Deficiency 21	"9,11,13,21,23,24"
Methotrexate Toxicity	"9,24"
Zinc-Responsive Necrolytic Acral Erythema	"9,17,24"
Incomplete Septal Cirrhosis	"9,24"
Acute Infantile Liver Failure-Multisystemic Involvement Syndrome	"9,24"
Megarbane-Jalkh Syndrome	"9,10,17,24"
Hepatoid Adenocarcinoma	"9,19"
"Microcephaly, Amish Type"	"9,12,13,20,21,23,24"
Familial Hypercholanemia	"9,21,23,24"
Muscular Hypertrophy-Hepatomegaly-Polyhydramnios Syndrome	"9,11,13,20,24"
Alpha-Methylacetoacetic Aciduria	"9,12,13,16,21,23,24"
Short Stature-Micrognathia Syndrome	"9,10,21"
Biliary Malformation with Renal Tubular Insufficiency	"9,12"
Bladder Hepatoid Adenocarcinoma	"9,12,19"
Neuroma Biliary Tract	"9,13,24"
"Porphyria, Acute Hepatic"	"9,12,13,17,21,23,24"
Isolated Polycystic Liver Disease	"9,24"
3-Hydroxyacyl-Coa Dehydrogenase Deficiency	"9,21,23,24"
Mitochondrial Trifunctional Protein Deficiency 1	"9,13,21"
"Hyperbilirubinemia, Rotor Type"	"9,21,23,24"
"Hyperbilirubinemia, Transient Familial Neonatal"	"9,21,24"
"Mitochondrial Complex V Deficiency, Nuclear Type 3"	"9,12,16,21,23"
Glycogen Storage Disease Due to Liver Phosphorylase Kinase Deficiency	"9,23,24"
"Protoporphyria, Erythropoietic, X-Linked"	"9,12,17,21,23,24"
Acid Sphingomyelinase Deficiency	"9,16,23,24"
Hjv or Hamp-Related Hemochromatosis	"9,23,24"
Pityriasis Rotunda	"9,17,19,24"
Childhood Myocerebrohepatopathy Spectrum	"9,12,13"
"Erythropoietic Protoporphyria, Autosomal Recessive"	"9,12,17,21,23,24"
Retinohepatoendocrinologic Syndrome	"9,12,24"
Hepatic Cystic Hamartoma	"9,24"
Fitz-Hugh-Curtis Syndrome	"9,24"
Primary Biliary Cholangitis/primary Sclerosing Cholangitis and Autoimmune Hepatitis Overlap Syndrome	"9,24"
Isolated Neonatal Sclerosing Cholangitis	"9,24"
Digenic Hemochromatosis	"9,23,24"
Seronegative Autoimmune Hepatitis	"9,24"
Idiopathic Ductopenia	"9,24"
Fever-Associated Acute Infantile Liver Failure Syndrome	"9,24"
Solitary Necrotic Nodule of the Liver	"9,24"
Syndromic Biliary Atresia	"9,24"
Idiopathic Peliosis Hepatis	"9,24"
Bile Acid Coa Ligase Deficiency and Defective Amidation	"9,23,24"
Isolated Agenesis of Gallbladder	"9,24"
Non-Hfe-Related Hemochromatosis	"9,23,24"
Recurrent Hepatitis C Virus Induced Liver Disease in Liver Transplant Recipients	"9,24"
Hepatitis B Reinfection Following Liver Transplantation	"9,24"
Bile Acid Synthesis Defect with Cholestasis and Malabsorption	"9,23,24"
Dihydrolipoamide Dehydrogenase Deficiency	"9,12,13,21,23,24"
Combined Oxidative Phosphorylation Deficiency 53	"9,10,13,21,23"
Cholangiocarcinoma	"9,12,17,19,24"
Yellow Fever	"9,11,17,22,24"
"Coproporphyria, Hereditary"	"9,12,13,17,21,23,24"
Combined Oxidative Phosphorylation Deficiency 12	"9,10,13,21,23,24"
"Polyglucosan Body Neuropathy, Adult Form"	"9,13,21,23,24"
Acrodermatitis	"9,17,24"
Rajab Interstitial Lung Disease with Brain Calcifications 1	"9,13,16,21"
Mitochondrial Pyruvate Carrier Deficiency	"9,13,21,23,24"
Parenteral Nutrition-Associated Cholestasis	"9,23,24"
Glycogen Storage Disease Due to Phosphorylase Kinase Deficiency	"9,23,24"
Trichohepatoneurodevelopmental Syndrome	"9,10,21"
Isolated Biliary Atresia	"9,20,24"
Gianotti Crosti Syndrome	"9,17,24"
Liver Adenomatosis	"9,19,24"
Primary Intrahepatic Lithiasis	"9,24"
Transient Infantile Hypertriglyceridemia and Hepatosteatosis	"9,24"
Pulmonary Fibrosis-Hepatic Hyperplasia-Bone Marrow Hypoplasia Syndrome	"9,16,24"
Isolated Congenital Hepatic Fibrosis	"9,24"
Undifferentiated Carcinoma of Liver and Intrahepatic Biliary Tract	"9,19,24"
Adenocarcinoma of the Gallbladder and Extrahepatic Biliary Tract	"9,19,24"
Fibrohistiocytic Inflammatory Pseudotumor of the Liver	"9,24"
Rare Tumor of Gallbladder and Extrahepatic Biliary Tract	"9,24"
Rare Hepatic and Biliary Tract Tumor	"9,24"
Congenital Disorder of Glycosylation with Hepatic Involvement	"9,24"
Biliary Atresia and Associated Disorders	"9,24"
Polycystic Kidney Disease 4 with or Without Polycystic Liver Disease	"9,12,15,16,21,24"
"Citrullinemia, Type Ii, Adult-Onset"	"9,13,21,23,24"
Glycogen Storage Disease Due to Glucose-6-Phosphatase Deficiency	"9,12,23,24"
Interstitial Lung and Liver Disease	"9,16,21,24"
Combined Hepatocellular Carcinoma and Cholangiocarcinoma	"9,19,24"
Neurodevelopmental Disorder with Epilepsy and Hemochromatosis	"9,13,21,23,24"
"Hepatitis, Fulminant Viral"	"9,21,22,24"
Isolated Complex Iii Deficiency	"9,12,13,16,23,24"
Undifferentiated Embryonal Sarcoma of the Liver	"9,19,20,24"
Adenocarcinoma of the Liver and Intrahepatic Biliary Tract	"9,19,24"
Squamous Cell Carcinoma of Gallbladder and Extrahepatic Biliary Tract	"9,19,24"
Squamous Cell Carcinoma of Liver and Intrahepatic Biliary Tract	"9,19,24"
Carcinoma of Gallbladder and Extrahepatic Biliary Tract	"9,19,24"
Biliary Atresia with Splenic Malformation Syndrome	"9,20,24"
Carcinoma of Liver and Intrahepatic Biliary Tract	"9,19,24"
Rare Metabolic Liver Disease	"9,23,24"
Growth Retardation-Mild Developmental Delay-Chronic Hepatitis Syndrome	"9,10,24"
Rare Tumor of Liver and Intrahepatic Biliary Tract	"9,24"
Rare Malignant Epithelial Tumor of Liver and Intrahepatic Biliary Tract	"9,19,24"
Rare Parenchymal Liver Disease	"9,24"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 1"	"9,12,16,21,23,24"
"Ichthyosis, Leukocyte Vacuoles, Alopecia, and Sclerosing Cholangitis"	"9,17,21,24"
Gestational Choriocarcinoma	"9,12,15,16,19,20,24"
Hyperbiliverdinemia	"9,12,17,21,24"
Cerebellar Vermis Aplasia with Associated Features Suggesting Smith-Lemli-Opitz Syndrome and Meckel Syndrome	"9,12,13,20,24"
Gracile Syndrome	"9,12,20,21,23,24"
Steroid Dehydrogenase Deficiency-Dental Anomalies Syndrome	"9,12,14,20,23,24"
"Interstitial Nephritis, Karyomegalic"	"9,12,16,21,24"
Congenital Respiratory-Biliary Fistula	"9,10,16,20,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Cabezas Type"	"10,13,14,20,21,23,24"
Kohlschutter-Tonz Syndrome	"10,13,14,17,20,21,24"
"Leukoencephalopathy, Hereditary Diffuse, with Spheroids 1"	"10,13,14,21,24"
"Intellectual Developmental Disorder, Autosomal Dominant 6, with or Without Seizures"	"10,13,21,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Claes-Jensen Type"	"10,13,20,21,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Hedera Type"	"10,13,21,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Hackmann-Di Donato Type"	"10,13,21"
Dravet Syndrome	"10,13,21,24"
"Congenital Contractures of the Limbs and Face, Hypotonia, and Developmental Delay"	"10,13,20,21,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Christianson Type"	"10,13,21"
Developmental and Epileptic Encephalopathy 39 with Leukodystrophy	"10,13,21,23,24"
"Abnormal Hair, Joint Laxity, and Developmental Delay"	"10,13,17,21,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Chudley-Schwartz Type"	"10,13"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Abidi Type"	"10,13"
Smith-Kingsmore Syndrome	"10,11,13,20,21,24"
"Global Developmental Delay, Lung Cysts, Overgrowth, and Wilms Tumor"	"10,12,16,20,21,24"
Methylmalonate Semialdehyde Dehydrogenase Deficiency	"10,12,13,21,23,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Bain Type"	"10,13,21"
Frontotemporal Dementia with Parkinsonism-17	"10,13,14,21"
Intellectual Developmental Disorder with Language Impairment and with or Without Autistic Features	"10,13,14,21"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Armfield Type"	"10,13,21"
Dentatorubral-Pallidoluysian Atrophy	"10,11,13,21,24"
Hypermethioninemia Due to Adenosine Kinase Deficiency	"10,13,21,23,24"
"Microcephaly, Seizures, and Developmental Delay"	"10,13,21"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Snijders Blok Type"	"10,13,21"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Siderius Type"	"10,13,21"
Neurodevelopmental Disorder with Hypotonia and Impaired Expressive Language and with or Without Seizures	"10,13,14,21"
"Amyotrophic Lateral Sclerosis, Juvenile, with Dementia"	"10,13"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Houge Type"	"10,13,21"
"Intellectual Developmental Disorder, Fra12a Type"	"10,13,21"
Alopecia-Contractures-Dwarfism Mental Retardation Syndrome	"10,13"
Epilepsy-Aphasia Spectrum	"10,13,14"
Waisman Syndrome	"10,13,21,24"
"Intellectual Developmental Disorder with Dysmorphic Facies, Seizures, and Distal Limb Anomalies"	"10,13,20,21,24"
Dementia Pugilistica	"10,13,14,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic, Stocco Dos Santos Type"	"10,13"
"Intellectual Developmental Disorder, Autosomal Recessive 34, with Variant Lissencephaly"	"10,13,21"
"X-Linked Intellectual Disability, Siderius Type"	"10,13,20,21,24"
"Mental Retardation, X-Linked, with Craniofacial Dysmorphism"	"10,13"
Beaulieu-Boycott-Innes Syndrome	"10,12,13,20,21,24"
Autism X-Linked 2	"10,13,21,24"
"Neurodevelopmental Disorder with Neonatal Respiratory Insufficiency, Hypotonia, and Feeding Difficulties"	"10,13,16,20,21,24"
"Cleft Palate, Psychomotor Retardation, and Distinctive Facial Features"	"10,13,14,20,21,24"
"Intellectual Developmental Disorder, X-Linked 99, Syndromic, Female-Restricted"	"10,13,21"
